Opening Name,Num Games,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Avg Num Moves,Num Variations,DeltaPerf,Log Num Games
Alekhine Defense,34710,0.6787431633814189,0.6389719729699785,0.557755775577558,0.4584951007579958,0.5633649153028997,0.5204097714736013,0.9011406844106464,0.5508374616654889,0.6556561669635158
Anderssen Opening,1308,0.5123885034687805,0.47457627118644075,0.5405940594059409,0.4113144758735441,0.5131782945736432,1.0,1.0,0.5414012738853503,0.2863993504717045
Benko Gambit,24543,0.7523465283040864,0.6805465955075953,0.7162492719860223,0.3944014877165507,0.6377564979480161,0.30638297872340425,0.9391634980988594,0.6545522667665777,0.6166114731758815
Benoni Defense,56840,0.7888999008919719,0.753738783649053,0.6238613861386137,0.4348752079866889,0.5965116279069766,0.24585106382978728,0.8517110266159695,0.5382165605095541,0.711217307481843
Bird Opening,16315,0.43111992071357763,0.4079760717846459,0.6530693069306932,0.30908485856905155,0.521860465116279,0.7974468085106383,0.9847908745247148,0.49299363057324896,0.5706124180883579
Bishop's Opening,11318,0.6075322101090186,0.5119187890872836,0.7371737173717376,0.4254726970201179,0.6783650458069062,0.6251450676982593,0.9619771863117871,0.7278517660683279,0.5294189288710375
Blackmar-Diemer Gambit,1019,0.4089857945160227,0.4556331006979062,0.5973597359735974,0.20166389351081526,0.3943152454780361,0.48156028368794335,0.9809885931558935,0.2696390658174107,0.25829656345118257
Blumenfeld Countergambit,2507,0.8934588701684834,0.8888334995014957,0.6178217821782179,0.3703826955074875,0.5410852713178296,0.33085106382978724,0.9885931558935361,0.4426751592356688,0.3596495357978067
Bogo-Indian Defense,22797,0.8093822266270236,0.8198737121967432,0.2514851485148515,0.9311148086522463,0.6904392764857881,0.5056737588652483,0.9809885931558935,0.39278131634819724,0.6082982080096903
Budapest Defense,7777,0.5883713247439712,0.543369890329013,0.6336633663366338,0.3301164725457568,0.5229974160206718,0.5539007092198581,0.9809885931558935,0.5658174097664553,0.48715297244513345
Caro-Kann Defense,129053,0.6836535694875159,0.6361238864053003,0.5153625039923349,0.5988084375503193,0.6386596649162288,0.4516129032258065,0.7680608365019012,0.5757139921923162,0.8035906253686774
Catalan Opening,36178,0.867652664481207,0.8247564997315746,0.36633663366336644,0.8250863944707538,0.6970781156827668,0.27659574468085113,0.9543726235741445,0.5644292013718745,0.6603225474034548
Center Game,2932,0.48315163528245764,0.38235294117647056,0.8693069306930694,0.21464226289517474,0.6186046511627907,0.6202127659574468,0.9885931558935361,0.7420382165605095,0.37728442644224647
Clemenz Opening,183,0.5203171456888005,0.45663010967098705,0.5762376237623765,0.2635607321131447,0.4263565891472867,1.0,1.0,0.6242038216560509,0.06536266768187071
Colle System,4968,0.4826560951437062,0.4047856430707877,0.6145214521452145,0.6016638935108152,0.7188630490956073,0.5418439716312058,1.0,0.6687898089171974,0.4366748560064472
Czech Defense,7257,0.57185332011893,0.6261216350947163,0.44158415841584175,0.4033277870216305,0.4294573643410853,0.6382978723404256,1.0,0.24840764331210186,0.47935788067144813
Danish Gambit,856,0.39643211100099096,0.3359920239282155,0.8475247524752478,0.28352745424292836,0.6542635658914728,0.674468085106383,0.9961977186311787,0.6114649681528662,0.2386812340683342
Dutch Defense,53855,0.7370180007836447,0.7023580421526119,0.5378309924015658,0.5318577564524241,0.6045429962141697,0.45828797624938145,0.8403041825095057,0.5356243519478594,0.7051402862369011
Elephant Gambit,873,0.16749256689791858,0.21402459288800246,0.34785478547854787,0.025291181364392568,0.061498708010335745,0.6865248226950356,0.9923954372623575,0.26539278131634864,0.24089403726346892
