Opening Name,Num Games,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Avg Num Moves,Num Variations,DeltaPerf
Alekhine Defense,34710,2207.925925925926,2208.4444444444443,36.13333333333333,26.78148148148148,37.08148148148148,7.62962962962963,27,-0.518518518518249
Anderssen Opening,1308,2124.0,2126.0,35.7,25.6,38.7,1.0,1,-2.0
Benko Gambit,24543,2245.0588235294117,2229.294117647059,40.13529411764706,25.176470588235293,34.682352941176475,10.588235294117647,17,15.7647058823527
Benoni Defense,56840,2263.5,2266.0,37.802499999999995,26.189999999999998,36.0125,11.425,40,-2.5
Bird Opening,16315,2083.0,2092.6,38.54,23.04,38.42,3.8,5,-9.599999999999909
Bishop's Opening,11318,2172.0,2144.7272727272725,40.663636363636364,25.954545454545453,33.372727272727275,6.181818181818182,11,27.27272727272748
Blackmar-Diemer Gambit,1019,2071.8333333333335,2116.5,37.13333333333333,20.349999999999998,42.53333333333333,8.166666666666666,6,-44.666666666666515
Blumenfeld Countergambit,2507,2316.25,2333.75,37.65,24.575,37.8,10.25,4,-17.5
Bogo-Indian Defense,22797,2273.8333333333335,2299.1666666666665,28.400000000000002,38.61666666666667,32.983333333333334,7.833333333333333,6,-25.33333333333303
Budapest Defense,7777,2162.3333333333335,2160.5,38.050000000000004,23.566666666666666,38.38333333333333,7.166666666666667,6,1.833333333333485
Caro-Kann Defense,129053,2210.4032258064517,2207.016129032258,35.06290322580645,30.29516129032258,34.653225806451616,8.580645161290322,62,3.387096774193651
Catalan Opening,36178,2303.230769230769,2301.6153846153848,31.299999999999997,35.96153846153846,32.76923076923077,11.0,13,1.6153846153843006
Center Game,2932,2109.25,2079.75,44.0,20.675,35.3,6.25,4,29.5
Clemenz Opening,183,2128.0,2117.0,36.6,21.9,41.5,1.0,1,11.0
Colle System,4968,2109.0,2091.0,37.56666666666666,30.366666666666664,32.06666666666666,7.333333333333333,1,18.0
Czech Defense,7257,2154.0,2202.0,33.2,25.4,41.4,6.0,1,-48.0
Danish Gambit,856,2065.5,2056.5,43.45,22.4,34.15,5.5,2,9.0
Dutch Defense,53855,2237.3255813953488,2240.232558139535,35.63023255813953,28.618604651162787,35.753488372093024,8.488372093023257,43,-2.9069767441860677
Elephant Gambit,873,1950.0,1995.3333333333333,30.833333333333332,15.933333333333332,53.26666666666667,5.333333333333333,3,-45.33333333333326
English Defense,2267,2351.5,2389.5,32.2,30.6,37.1,6.0,2,-38.0
English Opening,259136,2255.0485436893205,2262.631067961165,32.177669902912626,32.56990291262136,35.25242718446602,6.728155339805825,103,-7.582524271844704
Englund Gambit,114,2030.0,1960.0,37.7,28.9,33.3,3.0,1,70.0
Englund Gambit Complex,449,1865.5,1942.0,31.0,20.75,48.3,4.0,2,-76.5
Four Knights Game,23230,2220.7916666666665,2222.1666666666665,31.400000000000002,35.729166666666664,32.86666666666667,9.916666666666666,24,-1.375
French Defense,228091,2201.4322033898306,2202.635593220339,35.771186440677965,27.65762711864407,36.566101694915254,9.042372881355933,118,-1.2033898305085131
Grob Opening,797,2046.25,2055.0,44.85,18.75,36.4,4.0,4,-8.75
Gruenfeld Defense,55125,2320.4772727272725,2313.1136363636365,32.836363636363636,35.32954545454545,31.827272727272728,12.931818181818182,44,7.363636363636033
Gunderam Defense,613,2084.0,2171.0,31.8,21.9,46.3,4.0,1,-87.0
Horwitz Defense,10256,2158.0,2195.0,32.1,29.2,38.7,2.0,1,-37.0
Hungarian Opening,18777,2229.625,2245.375,29.075,30.3,40.6375,2.625,8,-15.75
Indian Game,114554,2215.576923076923,2217.3846153846152,36.23076923076923,28.680769230769233,35.1,4.423076923076923,26,-1.8076923076923777
Indian Game Defense,492,2370.0,2387.0,38.8,38.2,23.0,8.0,1,-17.0
Italian Game,59421,2072.4561403508774,2071.1403508771928,38.19122807017544,22.32982456140351,39.49122807017544,10.631578947368421,57,1.3157894736846174
Kadas Opening,121,2040.0,2085.0,33.9,19.0,47.1,1.0,1,-45.0
Kangaroo Defense,3251,2335.5,2349.5,28.8,35.15,36.05,4.5,2,-14.0
King Pawn Game,2111,2074.0,2095.1428571428573,34.15714285714286,26.0,39.84285714285714,4.142857142857143,7,-21.142857142857338
King's Gambit,10139,2172.848484848485,2171.4545454545455,41.25454545454546,20.196969696969695,38.53939393939394,6.7272727272727275,33,1.3939393939394904
King's Indian Attack,52457,2296.0833333333335,2298.25,34.766666666666666,34.18333333333333,31.05,6.5,12,-2.166666666666515
King's Indian Defense,190429,2287.1521739130435,2284.391304347826,35.99673913043478,30.09021739130435,33.915217391304346,13.445652173913043,92,2.76086956521749
King's Knight Opening,710,2099.0,2113.5,40.3,21.95,37.7,4.5,2,-14.5
King's Pawn Opening,7040,2120.0,2087.0,39.0,23.5,37.5,1.0,1,33.0
Latvian Gambit,1004,2130.8333333333335,2099.1666666666665,47.300000000000004,17.116666666666667,35.583333333333336,6.333333333333333,6,31.66666666666697
Lion Defense,3430,2263.0,2226.5,45.25,22.8,31.95,6.75,4,36.5
London System,166,2213.0,2189.0,31.9,32.5,35.5,9.0,1,24.0
Mexican Defense,2356,2250.0,2260.0,36.6,27.6,35.8,4.0,1,-10.0
Mieses Opening,1247,2145.0,2135.0,39.0,22.700000000000003,38.3,1.5,2,10.0
Mikenas Defense,1696,2214.0,2230.5,37.45,23.9,38.650000000000006,4.0,1,-16.5
